dataset	inter_num	sparsity	connected	user_num	item_num	user_mean	item_mean	user_median	item_median	user_max	item_max	user_min	item_min	sparsity_log	space_size	space_size_log	shape	shape_log	gini_user	gini_item	average_degree	average_degree_user	average_degree_item	average_degree_user_log	average_degree_item_log	degree_assort_user	degree_assort_item	average_clustering_coef_dot	average_clustering_coef_dot_user	average_clustering_coef_dot_item	average_clustering_coef_min	average_clustering_coef_min_user	average_clustering_coef_min_item	average_clustering_coef_max	average_clustering_coef_max_user	average_clustering_coef_max_item
47	79618	0.996412113176023	True	1013	21906	78.67391304347827	3.634695275051358	38.0	2.0	5152	224	20	1	-0.0015610014752255668	8.98070342456536	0.953310354645343	0.012723253535632646	-1.8954018185701251	0.5564090021949671	0.561492132694401	6.94837893267007	78.67391304347827	3.634695275051358	1.8958307514266253	0.5604680064162113	-0.027658160006846087	0.3359842150124191	0.31780621477295407	0.030006143039952846	0.3311024335629014	0.7179436813658273	0.09820057078559136	0.746575501859194	0.34200119427651327	0.04428428802118757	0.3557555658414706
48	82561	0.9967850929181002	True	1115	23032	74.11220825852783	3.5847770396422214	38.0	2.0	6695	294	20	1	-0.001398465580391592	9.594556529616154	0.9820249059926437	0.013505165877351292	-1.8695000772169283	0.5295558844396799	0.5746693877154891	6.838765790018638	74.11220825852783	3.5847770396422214	1.8698897537633978	0.5544621492745976	-0.04828064360778488	0.48371468370431736	0.3312599403831257	0.043963063227269596	0.34515637219900963	0.7342193961885514	0.11192827716656985	0.7643193617389176	0.3547851226753151	0.05915498593232934	0.36908463083091775
49	77646	0.996492836232038	True	1253	17669	62.01757188498402	4.394724926420648	38.0	2.0	1509	283	20	1	-0.0015258190870045124	9.86359153655503	0.9940350792919332	0.016137341266774848	-1.7921680165955665	0.44743603290398243	0.6259582734645224	8.207822410147992	62.01757188498402	4.394724926420648	1.7925147587153056	0.642931697003363	-0.03600726427514911	0.052972742131224895	0.26190216721712223	0.0408359007856205	0.2775674924136493	0.6761167434358507	0.11332684958129106	0.7159974852915167	0.2842423194251582	0.05722277093765818	0.30032950952626475
50	75316	0.9964140278947454	True	1286	16332	58.61167315175097	4.611842508113404	37.0	2.0	2274	337	20	1	-0.0015601669299951278	9.841563696892889	0.993064107677135	0.017074725158000955	-1.7676462781778635	0.4351235252021418	0.6401388606180067	8.55086285195277	58.61167315175097	4.611842508113404	1.7679841190987533	0.6638744679580573	-0.005287800416353756	0.34947104393250966	0.25762735342560034	0.03719880686877306	0.2749717097005083	0.6709010222000027	0.10683225369573875	0.7152846097040123	0.2799588008465593	0.05428967986360286	0.2977155102007384
51	83609	0.9960616290589588	True	1048	20257	79.85577841451767	4.127616508688783	42.0	2.0	2521	222	20	1	-0.001713789756826613	9.360674762003004	0.9713071558804337	0.012534535755720078	-1.9018917464654517	0.5317588328982511	0.5708502736218731	7.849504764587147	79.85577841451767	4.127616508688783	1.9023063474343174	0.6156993407758985	-0.06609185876422766	0.15562938417769695	0.2527006629687061	0.027134291197556264	0.2643598252536781	0.6593955481850479	0.09011047711812373	0.688820976177103	0.27787542656986197	0.039436695565968356	0.29019994036138436
52	79769	0.9965299507244215	True	1163	19766	68.64802065404476	4.035871490007589	37.0	2.0	2391	250	20	1	-0.0015096440393852282	9.63178835938581	0.9837069312060349	0.014579598590931313	-1.836254432955173	0.49635662692030114	0.5844494305158409	7.623548525827878	68.64802065404476	4.035871490007589	1.8366280196293097	0.605937329004632	-0.02807763694007703	0.27280306145609456	0.2850042550827342	0.03321445305383667	0.29980717691210834	0.672086327126825	0.09746153057205738	0.7058689739063161	0.31010424550082616	0.04831902365134416	0.3254948059758628
53	75638	0.9965441924221146	True	1194	18331	63.40150880134116	4.12645935624659	37.0	2.0	2771	356	20	1	-0.0015034374557090563	9.503250601767798	0.9778721818091466	0.01578571617440969	-1.8017357100315925	0.47093039247448254	0.6323100064283855	7.748604210418481	63.40150880134116	4.12645935624659	1.8020995931546009	0.6155775718627261	-0.010971050055941255	0.4425342356561619	0.31769119114046745	0.039358214405753184	0.33580637069554187	0.7174171872626282	0.11593296549611423	0.7565645236820199	0.3379886578211079	0.057217021450165696	0.3562625564676182
54	78276	0.9964339858695164	True	1141	19238	68.66315789473684	4.069033633102874	38.0	2.0	2788	311	20	1	-0.0015514681850297217	9.450551095042025	0.9754571344941636	0.01457662629669375	-1.8363429801518978	0.49029731055114917	0.6003875485310618	7.682779604456004	68.66315789473684	4.069033633102874	1.83672377323364	0.6094912795831011	-0.011120314385959871	0.3736111202999139	0.28525849869924524	0.033731136964196023	0.3001642112520319	0.6896470734297063	0.10228341524710002	0.7244547134114172	0.3092635636785582	0.048973889037381826	0.3246885378996395
55	79548	0.9964403726394837	True	1127	19829	70.64653641207815	4.011902360298568	38.0	2.0	1640	262	20	1	-0.0015486845284061455	9.468399864813485	0.9762765905556309	0.014167546638507568	-1.8487053490190486	0.4979709961638497	0.5916230730762153	7.5926314784766635	70.64653641207815	4.011902360298568	1.8490908745498276	0.6033503548320418	-0.020824695725628093	0.0913805715690929	0.2842330659159041	0.03403055178949054	0.2984416613822316	0.684312286438978	0.10044287916474243	0.7174692842496896	0.3086555021405969	0.049591494683766536	0.32336732745814734
56	75290	0.9965906277175581	True	1303	16948	57.82642089093702	4.442674219625893	38.0	2.0	970	307	20	1	-0.0014832014010512735	9.904689293460951	0.9958408564266246	0.017306415194580954	-1.7617928814280799	0.4233380238500226	0.6405198778879531	8.251411036221162	57.82642089093702	4.442674219625893	1.7621263129084914	0.6476444676846749	0.0005012464897617368	0.024721091679547415	0.2847613644320594	0.03657286764735291	0.3038291299842921	0.6824759697791499	0.10574374558236235	0.7267850130259911	0.30471790003252136	0.05385802910112216	0.3239909012688866
